concept_id,level_of_cause,predecessors_array,total_yr_deaths_USA,per_100_000_inhabitants_/yr_USA,female_yr_deaths_/yr_USA,female_yr_deaths_=<_4yo_USA,"female_yr_deaths_>=5yo,_<=64yo_USA",female_yr_deaths_>=_65_USA,male_yr_deaths_USA,male_yr_deaths_=<_4yo_USA,"male_yr_deaths_>=5yo,_<=64yo_USA",male_yr_deaths_>=_65_USA,total_deaths_source_year_USA,sources_total_deaths_USA,deaths_quality_USA,total_yr_deaths_FRANCE,per_100_000_inhabitants_/yr_FRANCE,female_yr_deaths_/yr_FRANCE,female_yr_deaths_=<_4yo_FRANCE,"female_yr_deaths_>=5yo,_<=64yo_FRANCE",female_yr_deaths_>=_65_FRANCE,male_yr_deaths_FRANCE,male_yr_deaths_=<_4yo_FRANCE,"male_yr_deaths_>=5yo,_<=64yo_FRANCE",male_yr_deaths_>=_65_FRANCE,total_deaths_source_year_FRANCE,sources_total_deaths_FRANCE,deaths_quality_FRANCE,successor_array,sources_for_causality,causality_quality,is accident,CIM10,comments,concept_id_french
thyroid cancer,indirect,"[{""predecessor_id"":""unknown carcinogens"",""impact"":""1""}]",,,,,,,,,,,,,,227,0.34,121,0,25,96,106,0,28,78,2018,https://www.santepubliquefrance.fr/docs/bulletin-epidemiologique-hebdomadaire-12-novembre-2019-n-29-30-surveillance-de-la-mortalite-par-cause-medicale-en-france-les-dernieres-evolutions,2,"[{""successor_id"":""metastasis"",""impact"":""1""}]",https://cancerres.aacrjournals.org/content/canres/51/4/1234.full.pdf,2,,,French distribution of total to gender/age groups based on CDC wonder for USA,Cancer de la thyroïde
AIDS,indirect,"[{""predecessor_id"":""infection by VIH"",""impact"":""1""}]",,,,,,,,,,,,,,303,0.45,66,0,53,13,237,0,179,58,2016,http://cepidc-data.inserm.fr/inserm/html/index2.htm,2,"[{""successor_id"":""non-Hodgkin lymphoma"",""impact"":""0.23""},{""successor_id"":""infection"",""impact"":""0.77""}]",https://academic.oup.com/ije/article/34/1/121/638504,2,,,,Sida
domestic violence,root,,,,,,,,,,,,,,,224,0.33,71,6,46,19,153,7,128,17,2011,,1,"[{""successor_id"":""traumatic injury""}]",,1,,,"French distribution of total to gender/age groups based CEPIDC ""homicide""",Violences conjugales
overdose,root,,,,,,,,,,,,,,,217,0.32,68,0,56,13,149,1,119,29,2008,,1,"[{""successor_id"":""intoxication by accident""}]",,1,,,"non-drug non-narcotics, French distribution of total to gender/age groups based on CDC wonder X49 for USA",Overdose
Hodgkin's disease,indirect,"[{""predecessor_id"":""unknown carcinogens"",""impact"":""1""}]",,,,,,,,,,,,,,200,0.30,82,0,25,57,118,0,51,68,2011,,1,"[{""successor_id"":""metastases"",""impact"":""0.4625""},{""successor_id"":""infection"" , ""impact"":""0.5375""}]","https://www.sciencedirect.com/science/article/pii/S0923753419550943#:~:text=Results,those%20patients%20with%20autopsy%20study.",1,,C81,"tumor progression (37%) and infections (43%) nromalized to metastases (46.25) and infections (53.75), unknown suspected mutation, French distribution of total to gender/age groups based on CDC wonder for USA",Maladie de Hodgkin
overdose of narcotics,root,,,,,,,,,,,,,,,113,0.17,28,0,27,1,85,0,80,4,2008,,1,"[{""successor_id"":""intoxication by accident""}]",,1,,X42,French distribution of total to gender/age groups based on CDC wonder for USA,Overdose de produits stupéfiants
drug overdose,root,,,,,,,,,,,,,,,103,0.15,36,0,33,2,67,0,64,4,2008,,1,"[{""successor_id"":""intoxication by accident""}]",,1,,"X40,X41,X43,X44",French distribution of total to gender/age groups based on CDC wonder for USA,Overdose Médicamenteuse
contamination due to drug injection,root,,,,,,,,,,,,,,,93,0.14,93,0,0,93,0,0,0,0,2008,,1,"[{""successor_id"":""infection""}]",,1,,Y64,French distribution of total to gender/age groups based on CDC wonder for USA,Contamination au Sida due à l'injection de drogues
testicular cancer,indirect,"[{""predecessor_id"":""unknown carcinogens"",""impact"":""1""}]",,,,,,,,,,,,,,80,0.12,0,0,0,0,80,0,0,80,2011,,1,"[{""successor_id"":""metastasis"",""impact"":""1""}]","""it is important to note that the cause of testicular cancer is not known"" https://www.cancer.net/cancer-types/testicular-cancer/risk-factors",2,,,,Cancer des testicules
military and civilian radiations,root,,,,,,,,,,,,,,,80,0.12,20,0,20,20,0,20,20,20,2007,,1,"[{""successor_id"":""ionizing radiations""}]",,1,,,French distribution done on active age groups so unrealiable,Radiations militaires et civiles
Chernobyl,root,,,,,,,,,,,,,,,80,0.12,40,0,20,20,40,0,20,20,2007,,1,"[{""successor_id"":""ionizing radiations""}]",,1,,W88,French distribution distributed equaly on age bands that existed at accident,Tchernobyl
heroin overdose,root,,,,,,,,,,,,,,,79,0.12,33,0,25,8,46,0,38,7,2008,,1,"[{""successor_id"":""intoxication by accident""}]",,1,,F11,French distribution of total to gender/age groups based on CDC wonder for USA,Overdose d'Héroïne
cocaine overdose,root,,,,,,,,,,,,,,,30,0.04,9,0,8,1,21,0,18,3,2008,,1,"[{""successor_id"":""intoxication by accident""}]",,1,,F14,French distribution of total to gender/age groups based on CDC wonder for USA,Overdose de Cocaïne
air and space transport accidents,root,,,,,,,,,,,,,,,8,0.01,1,0,1,0,7,0,5,2,2012,,1,"[{""successor_id"":""traumatic injury""}]",,1,,"V95,V96,V97",,Accidents d'avions
damaged pulmonary alveoli,indirect,"[{""predecessor_id"":""cigarette smoke irritants"",""impact"":""0.8""},{""predecessor_id"":""poor air quality"",""impact"":""0.17""},{""predecessor_id"":""asthma"",""impact"":""0.03""}]",,,,,,,,,,,,,,16000,23.86,7020,1,179,6840,5998,1,394,5603,,,1,"[{""successor_id"":""chronic obstructive pulmonary disease""}]","cigarettes, https://www.cdc.gov/tobacco/data_statistics/fact_sheets/health_effects/effects_cig_smoking/index.htm#:~:text=Smoking%20causes%20about%2080%25%20(or,obstructive%20pulmonary%20disease%20(COPD).&text=Cigarette%20smoking%20increases%20risk%20for,causes%20in%20men%20and%20women.&text=The%20risk%20of%20dying%20from,50%20years%20in%20the%20U.S., air quality https://erj.ersjournals.com/content/17/5/1024",2,,,,Distension et destruction des alvéoles pulmonaires
inherited gene mutations,root,,,,,,,,,,,,,,,6120,9.12,3426,0,641,2785,2692,0,636,2056,,,1,,,1,,,family history is assumed coming exclusivly from genes,gènes
asthma,root,,,,,,,,,,,,,,,885,1.32,625,1,85,539,260,2,92,166,2016,,1,,,1,,,,Asthme
ischemia,indirect,"[{""predecessor_id"":""vein damaged at surgery"",""impact"":""0.490""},{""predecessor_id"":""immobility"",""impact"":""0.294""},{""predecessor_id"":""cigarette smoke irritants"",""impact"":""0.147""},{""predecessor_id"":""smoke cannabis"",""impact"":""0.049""},{""predecessor_id"":""sepsis"",""impact"":""0.019""}]",,,,,,,,,,,,,,45743,68.21,18486,0,1001,17485,27257,0,4987,22270,,,1,"[{""successor_id"":""coronary heart disease"",""impact"":""?"",""impact"":""13240""},{""successor_id"":""stroke"",""impact"":""?"",""impact"":""23145""},{""successor_id"":""deep vein thrombosis"",""impact"":""?"",""impact"":""3734""},{""successor_id"":""pulmonary embolism"",""impact"":""?"",""impact"":""3143""}]",sum up predecessor impacts https://www.cdc.gov/ncbddd/dvt/facts.html https://www.nejm.org/doi/full/10.1056/NEJM198405033101801 https://www.ahajournals.org/doi/full/10.1161/01.CIR.93.7.1354 https://www.ncbi.nlm.nih.gov/books/NBK53012/,2,,"F01.1 (Multi-infarct dementia); F01.2 (Subcortical vascular dementia); G45.0 (Vertebro-basilar artery syndrome); G45.1 (Carotid artery syndrome (hemispheric)); G45.2 (Multiple and bilateral precerebral artery syndromes); G45.3 (Amaurosis fugax); G45.4 (Transient global amnesia); G45.8 (Other transient cerebral ischaemic attacks and related syndromes); G45.9 (Transient cerebral ischaemic attack, unspecified); G72.0 (Drug-induced myopathy); G72.1 (Alcoholic myopathy); G72.2 (Myopathy due to other toxic agents); G72.3 (Periodic paralysis); G72.4 (Inflammatory myopathy, not elsewhere classified); G72.8 (Other specified myopathies); G72.9 (Myopathy, unspecified); H46 (Optic neuritis); H47.0 (Disorders of optic nerve, not elsewhere classified); H91.0 (Ototoxic hearing loss); H91.1 (Presbycusis); H91.2 (Sudden idiopathic hearing loss); H91.3 (Deaf mutism, not elsewhere classified); H91.8 (Other specified hearing loss); H91.9 (Hearing loss, unspecified); H93.0 (Degenerative and vascular disorders of ear); I20-I25 (Ischaemic heart diseases); I42.0 (Dilated cardiomyopathy); I42.1 (Obstructive hypertrophic cardiomyopathy); I42.2 (Other hypertrophic cardiomyopathy); I42.3 (Endomyocardial (eosinophilic) disease); I42.4 (Endocardial fibroelastosis); I42.5 (Other restrictive cardiomyopathy); I42.6 (Alcoholic cardiomyopathy); I42.7 (Cardiomyopathy due to drugs and other external agents); I42.8 (Other cardiomyopathies); I42.9 (Cardiomyopathy, unspecified); I60-I69 (Cerebrovascular diseases); M62.2 (Ischaemic infarction of muscle); N28.0 (Ischaemia and infarction of kidney); P29.4 (Transient myocardial ischaemia of newborn); P91.0 (Neonatal cerebral ischaemia)","""leg crossed when sitting"" not confirmed, inflammation and genes removed as estimate is below 0.01, French distribution of total to gender/age groups based on French heart ischemia extrapolation ",Ischemie
haemorrhage,indirect,"[{""predecessor_id"":""traumatic injury"",""impact"":""0.8""},{""predecessor_id"":""vitamin K deficiency"",""impact"":""0.09""},{""predecessor_id"":""high blood pressure"",""impact"":""0.09""},{""predecessor_id"":""non-Hodgkin lymphoma"",""impact"":""0.01""},{""predecessor_id"":""brain cancer"",""impact"":""0.01""}]",,,,,,,,,,,,,,9041,13.48,4720,45,868,3808,4320,59,1137,3125,,,1,"[{""successor_id"":""stroke"",""impact"":""0.64"",""impact"":""5786""},{""successor_id"":""infection"",""impact"":""0.36""}]","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3928341/#:~:text=The%20most%20common%20cause%20of%20death%20was%20infection%20in%20eight,and%20aspiration%20pneumonia%20in%20two.",1,,"A04.3 (Enterohaemorrhagic Escherichia coli infection); A27.0 (Leptospirosis icterohaemorrhagica); A90-A99 (Arthropod-borne viral fevers and viral haemorrhagic fevers); B30.3 (Acute epidemic haemorrhagic conjunctivitis); B33.4 (Hantavirus (cardio)-pulmonary syndrome [HPS][HCPS]); D47.3 (Essential (haemorrhagic) thrombocythaemia - Uncertain neoplasms); D50.0 (Iron deficiency anaemia secondary to blood loss (chronic)); D62 (Acute posthaemorrhagic anaemia); D65-D69 (Coagulation defects, purpura and other haemorrhagic conditions); D75.2 (Essential thrombocytosis); H11.3 (Conjunctival haemorrhage); H31.3 (Choroidal haemorrhage and rupture); H35.6 (Retinal haemorrhage); H43.1 (Vitreous haemorrhage); I60.0 (Subarachnoid haemorrhage from carotid siphon and bifurcation); I60.1 (Subarachnoid haemorrhage from middle cerebral artery); I60.2 (Subarachnoid haemorrhage from anterior communicating artery); I60.3 (Subarachnoid haemorrhage from posterior communicating artery); I60.4 (Subarachnoid haemorrhage from basilar artery); I60.5 (Subarachnoid haemorrhage from vertebral artery); I60.6 (Subarachnoid haemorrhage from other intracranial arteries); I60.7 (Subarachnoid haemorrhage from intracranial artery, unspecified); I60.8 (Other subarachnoid haemorrhage); I60.9 (Subarachnoid haemorrhage, unspecified); I61.0 (Intracerebral haemorrhage in hemisphere, subcortical); I61.1 (Intracerebral haemorrhage in hemisphere, cortical); I61.2 (Intracerebral haemorrhage in hemisphere, unspecified); I61.3 (Intracerebral haemorrhage in brain stem); I61.4 (Intracerebral haemorrhage in cerebellum); I61.5 (Intracerebral haemorrhage, intraventricular); I61.6 (Intracerebral haemorrhage, multiple localized); I61.8 (Other intracerebral haemorrhage); I61.9 (Intracerebral haemorrhage, unspecified); I62.0 (Subdural haemorrhage (acute)(nontraumatic)); I62.1 (Nontraumatic extradural haemorrhage); I62.9 (Intracranial haemorrhage (nontraumatic), unspecified); I69.0 (Sequelae of subarachnoid haemorrhage); I69.1 (Sequelae of intracerebral haemorrhage); I69.2 (Sequelae of other nontraumatic intracranial haemorrhage); I69.4 (Sequelae of stroke, not specified as haemorrhage or infarction); I78.0 (Hereditary haemorrhagic telangiectasia); K25.2 (Gastric ulcer, acute with both haemorrhage and perforation); K25.4 (Gastric ulcer, chronic or unspecified with haemorrhage); K26.0 (Duodenal ulcer, acute with haemorrhage); K26.2 (Duodenal ulcer, acute with both haemorrhage and perforation); K26.4 (Duodenal ulcer, chronic or unspecified with haemorrhage); K27.0 (Peptic ulcer, site unspecified, acute with haemorrhage); K27.2 (Peptic ulcer, site unspecified, acute with both haemorrhage and perforation); K27.4 (Peptic ulcer, site unspecified, chronic or unspecified with haemorrhage); K27.6 (Peptic ulcer, site unspecified, chronic or unspecified with both haemorrhage and perforation); K28.0 (Gastrojejunal ulcer, acute with haemorrhage); K28.2 (Gastrojejunal ulcer, acute with both haemorrhage and perforation); K28.4 (Gastrojejunal ulcer, chronic or unspecified with haemorrhage); K28.6 (Gastrojejunal ulcer, chronic or unspecified with both haemorrhage and perforation); K29.0 (Acute haemorrhagic gastritis); K62.5 (Haemorrhage of anus and rectum); K76.2 (Central haemorrhagic necrosis of liver); K92.2 (Gastrointestinal haemorrhage, unspecified); N42.1 (Congestion and haemorrhage of prostate); N50.1 (Vascular disorders of male genital organs); O03.1 (Spontaneous abortion, incomplete, complicated by delayed or excessive haemorrhage); O04.1 (Medical abortion, incomplete, complicated by delayed or excessive haemorrhage); O05.1 (Other abortion, incomplete, complicated by delayed or excessive haemorrhage); O06.1 (Unspecified abortion, incomplete, complicated by delayed or excessive haemorrhage); O07.1 (Failed medical abortion, complicated by delayed or excessive haemorrhage); O20.0 (Threatened abortion); O20.8 (Other haemorrhage in early pregnancy); O20.9 (Haemorrhage in early pregnancy, unspecified); O44.1 (Placenta praevia with haemorrhage); O46.0 (Antepartum haemorrhage with coagulation defect); O46.8 (Other antepartum haemorrhage); O46.9 (Antepartum haemorrhage, unspecified); O72.0 (Third-stage haemorrhage); O72.1 (Other immediate postpartum haemorrhage); O72.2 (Delayed and secondary postpartum haemorrhage); O72.3 (Postpartum coagulation defects); O73.0 (Retained placenta without haemorrhage); O73.1 (Retained portions of placenta and membranes, without haemorrhage); P10.0 (Subdural haemorrhage due to birth injury); P10.1 (Cerebral haemorrhage due to birth injury); P10.2 (Intraventricular haemorrhage due to birth injury); P10.3 (Subarachnoid haemorrhage due to birth injury); P10.4 (Tentorial tear due to birth injury); P10.8 (Other intracranial lacerations and haemorrhages due to birth injury); P10.9 (Unspecified intracranial laceration and haemorrhage due to birth injury); P12.2 (Epicranial subaponeurotic haemorrhage due to birth injury); P26.0 (Tracheobronchial haemorrhage originating in the perinatal period); P26.1 (Massive pulmonary haemorrhage originating in the perinatal period); P26.8 (Other pulmonary haemorrhages originating in the perinatal period); P26.9 (Unspecified pulmonary haemorrhage originating in the perinatal period); P50-P61 (Haemorrhagic and haematological disorders of newborn); R04.0 (Epistaxis); R04.1 (Haemorrhage from throat); R04.2 (Haemoptysis); R04.8 (Haemorrhage from other sites in respiratory passages); R04.9 (Haemorrhage from respiratory passages, unspecified); R58 (Haemorrhage, not elsewhere classified); Y60.0 (During surgical operation); Y60.1 (During infusion or transfusion); Y60.2 (During kidney dialysis or other perfusion); Y60.3 (During injection or immunization); Y60.4 (During endoscopic examination); Y60.5 (During heart catheterization); Y60.6 (During aspiration, puncture and other catheterization); Y60.7 (During administration of enema); Y60.8 (During other surgical and medical care); Y60.9 (During unspecified surgical and medical care)",brain cancer via herniation,haemorrhage
traumatic injury,direct,"[{""predecessor_id"":""suicides"",""impact"":""0.344""},{""predecessor_id"":""falls"",""impact"":""0.429""},{""predecessor_id"":""land and water transport accidents"",""impact"":""0.195""},{""predecessor_id"":""occupational work"",""impact"":""0.021""},{""predecessor_id"":""domestic violence"",""impact"":""0.009""},{""predecessor_id"":""air and space transport accidents"",""impact"":""0""}]",,,,,,,,,,,,,,25309,37.74,9277.99747,36.14657879,2646.649401,6595.20149,16031.00253,42.34313516,8858.488539,7128.105338,,,1,,by definitions,1,,,,Traumatic injury
vitamin K deficiency,root,,,,,,,,,,,,,,,814,1.21,424.8,4.05,78.12,342.72,388.8,5.31,102.33,281.25,,,1,"[{""successor_id"":""haemorrhage""}]",,1,,,French distribution of total to gender/age groups aligned from successor ,Vitamin K deficiency
high blood pressure,root,,,,,,,,,,,,,,,814,1.21,424.8,4.05,78.12,342.72,388.8,5.31,102.33,281.25,,,1,"[{""successor_id"":""haemorrhage""}]",,1,,,French distribution of total to gender/age groups aligned from successor ,High blood pressure
infection,indirect,"[{""predecessor_id"":""kidney cancer"",""impact"":""0.022""},{""predecessor_id"":""non-Hodgkin lymphoma"",""impact"":""0.078""},{""predecessor_id"":""leukemia"",""impact"":""0.140""},{""predecessor_id"":""breast cancer"",""impact"":""0.667""},{""predecessor_id"":""multiple myeloma"",""impact"":""0.073""},{""predecessor_id"":""contamination due to drug injection"",""impact"":""0.004""},{""predecessor_id"":""AIDS"",""impact"":""0.012""},{""predecessor_id"":""Hodgkin's disease"",""impact"":""0.005""}]",,,,,,,,,,,,,,23309,34.76,12485,59,904,11522,10824,97,1667,9060,,sum up of successor impacts,1,"[{""successor_id"":""pneumonia"",""impact"":""?"",""impact"":""16000""},{""successor_id"":""sepsis"",""impact"":""?"",""impact"":""1800""},{""successor_id"":""gastric cancer"",""impact"":""?"",""impact"":""2641""},{""successor_id"":""cervical cancer"",""impact"":""?"",""impact"":""757""},{""successor_id"":""diarrhea illnesses"",""impact"":""?"",""impact"":""1317""},{""successor_id"":""bladder cancer"",""impact"":""?"",""impact"":""794""}]","World Cancer Report 2014, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4953807/",1,,,for breakdown see world cancer report table 2.4.1. Major cancer sites related to infectious agents classified as carcinogenic to humans,Infection
low oxygen in blood,direct,"[{""predecessor_id"":""asphyxia"",""impact"":""0.045""},{""predecessor_id"":""non-Hodgkin lymphoma"",""impact"":""0.016""},{""predecessor_id"":""lung cancer"",""impact"":""0.421""},{""predecessor_id"":""pneumonia"",""impact"":""0.206""},{""predecessor_id"":""chronic obstructive pulmonary disease"",""impact"":""0.206""},{""predecessor_id"":""deep vein thrombosis"",""impact"":""0.048""},{""predecessor_id"":""pulmonary embolism"",""impact"":""0.040""},{""predecessor_id"":""mesothelioma cancer"",""impact"":""0.014""}]",,,,,,,,,,,,,,76250,113.70,31920.80733,20.88129584,4919.593335,26980.3327,42380.63806,27.87503128,9913.719907,32437.04492,,,1,,see predecessors and sum up of precessor impacts,1,,,sepsis impact is more low oxygen at organ level,low oxygen in blood
pneumonia,indirect,"[{""predecessor_id"":""infection"",""impact"":""1""}]",,,,,,,,,,,,,,16000,23.86,8628,1,220,8407,7372,1,484,6886,2009,http://www.omedit-centre.fr/portail/gallery_files/site/136/2953/5062/5211.pdf,2,"[{""successor_id"":""low oxygen in blood"",""impact"":""1""}]",by definition,1,,,lung air sacs fill with fluid or pus,Lung air sacs fill with fluid or pus
poor air quality,root,,,,,,,,,,,,,,,9143,13.63,2710.92,0.29,1034.72,1675.91,6734.38,0.29,2295.64,4438.45,,,1,"[{""successor_id"":""lung cancer""}]",,1,,,"excluding radon, asbestos",Poor air quality
metastases,direct,"[{""predecessor_id"":""melanoma"",""impact"":""0.023""},{""predecessor_id"":""uterine cancer"",""impact"":""0.038""},{""predecessor_id"":""cervical cancer"",""impact"":""0.010""},{""predecessor_id"":""colon cancer / rectal cancer"",""impact"":""0.244""},{""predecessor_id"":""prostate cancer"",""impact"":""0.120""},{""predecessor_id"":""pancreatic cancer"",""impact"":""0.153""},{""predecessor_id"":""liver cancer"",""impact"":""0.119""},{""predecessor_id"":""gastric cancer"",""impact"":""0.052""},{""predecessor_id"":""bladder cancer"",""impact"":""0.073""},{""predecessor_id"":""cancer of the oral cavity and the pharynx"",""impact"":""0.055""},{""predecessor_id"":""esophageal cancer"",""impact"":""0.042""},{""predecessor_id"":""ovarian cancer"",""impact"":""0.047""},{""predecessor_id"":""neoplasm"",""impact"":""0.019""},{""predecessor_id"":""thyroid cancer"",""impact"":""0.003""},{""predecessor_id"":""larynx cancer"",""impact"":""0.011""},{""predecessor_id"":""testicular cancer"",""impact"":""0.001""},{""predecessor_id"":""Hodgkin's disease"",""impact"":""0.001""}]",,,,,,,,,,,,,,72398,107.95,31334.67322,17.66183121,7112.54866,24204.46273,41063.32678,18.52338395,10405.40324,30639.40016,,,1,,see predecessors and sum up of precessor impacts,1,,,French distribution of total to gender/age groups align with sum of tumor death from CEPIDC,metastases
APC protein deficiency,indirect,"[{""predecessor_id"":""heme"",""impact"":""0.5""},{""predecessor_id"":""unknown carcinogens"",""impact"":""0.3""},{""predecessor_id"":""inherited gene mutations"",""impact"":""0.2""}]",,,,,,,,,,,,,,14173,21.13,6692.8,0,1045.6,5647.2,7480,0,1456.8,6023.2,,,1,,https://www.uni-bonn.de/news/196-2020 https://molecular-cancer.biomedcentral.com/articles/10.1186/1476-4598-2-41,1,,,,APC protein deficiency
heme,indirect,"[{""predecessor_id"":""red meat"",""impact"":""1""}]",,,,,,,,,,,,,,7086,10.57,3346.4,0,522.8,2823.6,3740,0,728.4,3011.6,,,1,"[{""successor_id"":""APC protein deficiency"",""impact"":""1""}]",https://cancerpreventionresearch.aacrjournals.org/content/4/2/177,2,,,,hème
ionizing radiations,indirect,"[{""predecessor_id"":""industrial radiations"",""impact"":""0""},{""predecessor_id"":""natural radiations"",""impact"":""0.549""},{""predecessor_id"":""medical radiations"",""impact"":""0.421""},{""predecessor_id"":""military and civilian radiations"",""impact"":""0.014""},{""predecessor_id"":""Chernobyl"",""impact"":""0.014""}]",,,,,,,,,,,,,,5460,8.14,4318,0,1559,1829,4314,20,1331,2073,,,1,"[{""successor_id"":""lung cancer""},{""successor_id"":""liver cancer""},{""successor_id"":""bladder cancer""},{""successor_id"":""leukemia""}]",by definition sum up of ionizing radiations,1,,,excluded outside double strand breaks. to review,radiation ionizante
nutritional deficiency,direct,"[{""predecessor_id"":""gastric cancer"",""impact"":""0.397""},{""predecessor_id"":""esophageal cancer"",""impact"":""0.493""},{""predecessor_id"":""gastroinstestinal system failure"",""impact"":""0.109""}]",,,,,,,,,,,,,,1553,2.32,466.365946,0.119986093,93.50916185,372.7367981,1083.874374,0.119986093,330.1017397,753.6526481,,,1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6036662/,2,,,,déficience nutrition
pickled food related carcinogens,root,,,,,,,,,,,,,,,441,0.66,152.5,0,31.8,120.7,287.8,0,82.9,204.9,,,1,"[{""successor_id"":""gastric cancer""}]",mecanism https://pubmed.ncbi.nlm.nih.gov/22499775/,2,,,,nourriture vinaigrée
arsenic-related carcinogens,root,,,,,,,,,,,,,,,0,0.00,0,0,0,0,0,0,0,0,,,1,,mecanism https://www.sciencedirect.com/science/article/pii/S0027510703002082?via%3Dihub,2,,,Inorganic arsenic-related carcinogens compounds interfere with DNA repair mechanisms and an increased frequency of chromosomal aberrations,arsenic
neoplasm,indirect,"[{""predecessor_id"":""multiple myeloma"",""impact"":""1""}]",,,,,,,,,,,,,,1400,2.09,618.5,0,107.5,511,781.5,0,154.5,627,,,1,"[{""successor_id"":""metastases""}]",,2,,,,néoplasme
suffocation by ingestion,root,,,,,,,,,,,,,,,3142,4.69,1766.65,13.35,319.51,1433.79,1386.62,20.47,271.45,1093.81,,,1,,,1,,,,suffocation par ingestion
low blood pressure,direct,"[{""predecessor_id"":""diarrhea illnesses"",""impact"":""0.6""},{""predecessor_id"":""sepsis"",""impact"":""0.4""}]",,,,,,,,,,,,,,2217,3.31,1489.5,20.5,264,1205.5,1227.5,24.5,278,925,,,1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4646706/ and impact computed from predecessors,2,,,,pression artérielle faible
exposure to asbestos,root,,,,,,,,,,,,,,,1100,1.64,270,0,62,208,830,0,106,724,,,1,[mesothelioma cancer],meca https://pubmed.ncbi.nlm.nih.gov/19358470/,2,,,might impact by inflammation and chemical carcinogenesis,exposition à l'amiante
protein degradation,direct,"[{""predecessor_id"":""burn"",""impact"":""1""}]",,,,,,,,,,,,,,215,0.32,86,4,43,39,129,3,74,52,,,1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3292697/,1,,,                             ,dégradation des protéines
insulin-producing cells destruction by immune system,root,,,,,,,,,,,,,,,1128,1.68,570,0,34,536,557,0,80,478,,,1,"[{""successor_id"":""diabetes""}]",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3510959/,1,,,prec suspected leak fiber+pesticide+processed food https://www.ncbi.nlm.nih.gov/pubmed/31841598,destruction des cellules productrices d'insuline par le système immunitaire
insulin resistant cells,root,,,,,,,,,,,,,,,5074,7.57,2567,0,154,2413,2507,0,358,2149,,,1,"[{""successor_id"":""diabetes""}]",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6170977/,1,,,prec suspected leak fiber+pesticide++processed food,cellules résistantes à l'insuline
low insulin production by pancreas,root,,,,,,,,,,,,,,,5074,7.57,2567,0,154,2413,2507,0,358,2149,,,1,"[{""successor_id"":""diabetes""}]",,1,,,prec suspected leak fiber+pesticide++processed food,faible production d'insuline par le pancréas
renal failure,indirect,"[{""predecessor_id"":""non-Hodgkin lymphoma"",""impact"":""1""}]",,,,,,,,,,,,,,85,0.13,38,0,4,34,46,0,8,38,,,1,"[{""successor_id"":""cell toxicity mechanism""}]",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4323911/,2,,,,insuffisance rénale
gastroinstestinal system failure,indirect,"[{""predecessor_id"":""non-Hodgkin lymphoma"",""impact"":""1""}]",,,,,,,,,,,,,,170,0.25,76,0,9,67,92,0,16,76,,,1,"[{""successor_id"":""nutritional deficiency""}]",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5773925/pdf/f1000research-7-13527.pdf,2,,,,défaillance du système gastro-intestinal
nonsteroidal anti-inflammatory drugs,root,,,,,,,,,,,,,,,1425,2.12,506,1,89,416,918,0,226,692,,,1,"[{""successor_id"":""kidney cancer"",""impact"":""1""}]",,1,,,also tumor inhibitor https://clincancerres.aacrjournals.org/content/20/5/1104,anti-inflammatoires non stéroïdiens
infection by VIH,root,,,,,,,,,,,,,,,303,0.45,66,0,53,13,237,0,179,58,,,1,"[{""successor_id"":""AIDS"",""impact"":""1""}]",,1,,,,infection par le VIH
deep vein thrombosis,indirect,"[{""predecessor_id"":""ischemia"",""impact"":""1""}]",,,,,,,,,,,,,,3734,5.57,2252,1,252,1999,1482,0,323,1159,2013,https://www.santepubliquefrance.fr/content/download/103214/1687194,2,"[{""successor_id"":""low oxygen in blood"",""impact"":""1""}]",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3262341/,1,,,low oxygen in blood localizied near the clot,thrombose veineuse profonde
pulmonary embolism,indirect,"[{""predecessor_id"":""ischemia"",""impact"":""1""}]",,,,,,,,,,,,,,3143,4.69,1874,1,218,1655,1269,1,277,991,2013,https://www.santepubliquefrance.fr/content/download/103214/1687194,2,"[{""successor_id"":""low oxygen in blood"",""impact"":""1""}]",https://www.ncbi.nlm.nih.gov/books/NBK560551/,1,,,,embolie pulmonaire
immobility,root,,,,,,,,,,,,,,,13723,20.46,5546,0,300,5246,8177,0,1496,6681,,,1,"[{""successor_id"":""ischemia""}]",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6188238/,1,,,#REF!,immobilité
vein damaged at surgery,root,,,,,,,,,,,,,,,22872,34.10,9243,0,501,8743,13629,0,2494,11135,,,1,"[{""successor_id"":""ischemia""}]",,1,,,,veine endommagée lors de la chirurgie
